,# correlated features
PF3D7_1149800.iso1.exon2.amp1_981,1
PF3D7_1149500.e4_1827,1
PF3D7_1149500.e2_2470,1
PF3D7_1149500.4o4_1755,1
PF3D7_1149500.3o4_3381,1
PF3D7_1149200.e2s2_2156,1
PF3D7_1149200.e2s1_2474,1
PF3D7_1149100.iso2.exon2.amp1_3610,1
PF3D7_1149100.1.2o2_4944,1
PF3D7_1148800.2o2_3303,1
PF3D7_1147800.iso2.exon2.amp1_4258,1
PF3D7_1147800.iso2.exon1.amp1_325,1
PF3D7_1147800.1.e2s2_1154,1
PF3D7_1147800.1.e2s1_506,1
PF3D7_1147000.e1s3_2446,1
PF3D7_1147000.3o3_3396,1
PF3D7_1142300.e2s1_1800,1
PF3D7_1142100.e1s3_4181,1
PF3D7_1142100.e1s1_2891,1
PF3D7_1138300.1o1_4242,1
PF3D7_1138200.2o2_3594,1
PF3D7_1137300.1o1_1747,1
PF3D7_1136200.5o5_4981,1
PF3D7_1136200.1o5_4663,1
PF3D7_1135300.1o1_2354,1
PF3D7_1134600.iso1.exon1.amp2_4513,1
PF3D7_1133200.e2s1_1840,1
PF3D7_1133200.e1s2_486,1
PF3D7_1133100.e1s2_854,1
PF3D7_1133100.e1s1_530,1
PF3D7_1132400.e2s2_1489,1
PF3D7_1132400.1o1_4913,1
PF3D7_1128500.1o1_4665,1
PF3D7_1124300.1o3_3015,1
PF3D7_1123500.iso1.exon1.amp1_4580,1
PF3D7_1123000.iso1.exon1.amp3_1921,1
PF3D7_1123000.iso1.exon1.amp2_3426,1
PF3D7_1123000.iso1.exon1.amp1_3137,1
PF3D7_1122500.iso1.exon1.amp2_4229,1
PF3D7_1122500.iso1.exon1.amp1_3721,1
PF3D7_1121600.iso1.exon2.amp1_2679,1
PF3D7_1121000.1o6_3296,1
PF3D7_1119700.iso1.exon1.amp1_1569,1
PF3D7_1117000.iso1.exon2.amp2_seg1_4613,1
PF3D7_1105900.iso1.exon1.amp1_1541,1
PF3D7_1102900.2o2_4241,1
PF3D7_1102800.iso1.exon1.amp1_671,1
PF3D7_1102600.2o2_3620,1
PF3D7_1102500.e2s1_905,1
PF3D7_1102500.e1s1_2477,1
PF3D7_1102300.2o2_707,1
PF3D7_1101300.iso1.exon1.amp1_2434,1
PF3D7_1101200.iso1.exon1.amp1_3319,1
PF3D7_1101100.iso1.exon1.amp1_3897,1
PF3D7_1100500.iso1.exon1.amp1_699,1
PF3D7_1100400.iso1.exon2.amp1_3590,1
PF3D7_1100300.iso1.exon2.amp1_4474,1
PF3D7_1100200.e1s3_1597,1
PF3D7_1100200.e1s2_2245,1
PF3D7_1100200.e1s1_2569,1
PF3D7_1100100.iso1.exon2.amp1_1582,1
PF3D7_1100100.iso1.exon1.amp2_3684,1
PF3D7_1100100.iso1.exon1.amp1_4545,1
PF3D7_1041300.iso1.exon2.amp2_787,1
PF3D7_1041300.iso1.exon2.amp1_498,1
PF3D7_1041300.iso1.exon1.amp1_1293,1
PF3D7_1041100.iso1.exon2.amp1_3013,1
