,# correlated features
PF3D7_1331400.e1s1_3809,1
PF3D7_1330600.iso1.exon1.amp1_725,1
PF3D7_1329700.1o1_99,1
PF3D7_1329500.iso1.exon1.amp1_4532,1
PF3D7_1328500.e1s2_1217,1
PF3D7_1327500.iso1.exon1.amp1_4162,1
PF3D7_1326500.iso1.exon1.amp2_1109,1
PF3D7_1325900.e1s1_1589,1
PF3D7_1325100.e1s1_4462,1
PF3D7_1324600.iso1.exon2.amp1_3983,1
PF3D7_1323400.e2s1_225,1
PF3D7_1323000.1o2_364,1
PF3D7_1322700.1o1_1025,1
PF3D7_1322200.e4s1_5096,1
PF3D7_1322200.e1s2_2564,1
PF3D7_1321500.1.8o9_3403,1
PF3D7_1321300.e1s3_2883,1
PF3D7_1319900.s2_3115,1
PF3D7_1316600.3o3_4349,1
PF3D7_1316100.iso1.exon1.amp2_756,1
PF3D7_1315900.iso1.exon1.amp1_3953,1
PF3D7_1315800.1o1_1064,1
PF3D7_1315300.2o2_4307,1
PF3D7_1314200.e1s3_3855,1
PF3D7_1313900.1o1_3973,1
PF3D7_1313100.iso1.exon1.amp2_3997,1
PF3D7_1311800.e1s1_4145,1
PF3D7_1311400.e1s1_4138,1
PF3D7_1310200.2o2_4893,1
PF3D7_1307600.e2_3451,1
PF3D7_1307400.1o2_3639,1
PF3D7_1306300.iso1.exon3.amp1_52,1
PF3D7_1305700.1o1_2629,1
PF3D7_1305100.1o1_3009,1
PF3D7_1303800.e1s9_2892,1
PF3D7_1302100.e1s1_4129,1
PF3D7_1301700.2o2_3930,1
PF3D7_1301600.iso1.exon4.amp2_1680,1
PF3D7_1301500.2o2_4588,1
PF3D7_1300100.iso1.exon1.amp1_499,1
PF3D7_1255200.iso1.exon1.amp1_3324,1
PF3D7_1252600.1o1_3000,1
PF3D7_1252400.e2s1_2199,1
PF3D7_1252200.1o1_2666,1
PF3D7_1251700.2o2_116,1
PF3D7_1250100.e1s3_281,1
PF3D7_1247800.e6s1_3169,1
PF3D7_1247100.2o2_3936,1
PF3D7_1247100.1o2_4260,1
PF3D7_1244500.1o1_3040,1
PF3D7_1243900.iso1.exon6.amp1_4142,1
PF3D7_1243400.e1s1_3160,1
PF3D7_1241500.iso1.exon1.amp1_4479,1
PF3D7_1240900.iso1.exon3.amp1_1880,1
PF3D7_1240400.iso1.exon2.amp1_1013,1
PF3D7_1239300.1o1_4256,1
PF3D7_1236500.1o1_3614,1
PF3D7_1235300.s2_2783,1
PF3D7_1235300.s1_3749,1
PF3D7_1234800.e1s2_4807,1
PF3D7_1234800.e1s1_3181,1
PF3D7_1233400.2o4_89,1
PF3D7_1231400.iso1.exon4.amp1_924,1
PF3D7_1230700.1o1_2398,1
PF3D7_1229900.1.24o24_2050,1
PF3D7_1227300.e1s2_4153,1
PF3D7_1223600.e2s2_4089,1
PF3D7_1222700.1o1_3926,1
PF3D7_1221300.iso1.exon6.amp1_1262,1
PF3D7_1221000.e1s2_4169,1
PF3D7_1221000.e1s1_4493,1
PF3D7_1220300.iso1.exon3.amp1_94,1
PF3D7_1218900.1o1_4341,1
PF3D7_1218800.e1s1_4105,1
PF3D7_1217700.1o1_1070,1
PF3D7_1216500.e1s1_2833,1
PF3D7_1216100.1o1_2660,1
PF3D7_1215600.1o1_1004,1
PF3D7_1214100.e4_3437,1
PF3D7_1213400.e1s1_3822,1
PF3D7_1210100.1o1_2968,1
PF3D7_1208300.1o2_4246,1
PF3D7_1208200.e3s2_4516,1
PF3D7_1207400.2o2_4621,1
PF3D7_1206900.4o4_2705,1
PF3D7_1203900 (renamed)_3313,1
PF3D7_1203700.e3_4090,1
PF3D7_1201200.2o2_45,1
